state,date,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,deaths_covid
NC,2020/07/29,1661,119,987,119,7,119,4,119,12
NJ,2020/07/29,845,65,363,65,89,66,31,66,5
NM,2020/07/29,115,20,76,19,2,20,0,19,2
NV,2020/07/29,1201,62,972,62,21,62,8,62,15
NY,2020/07/29,1846,137,661,128,103,137,24,128,20
OH,2020/07/29,1228,131,667,130,47,131,3,130,12
OK,2020/07/29,680,121,543,115,6,83,4,80,10
OR,2020/07/29,245,49,137,47,10,49,1,47,1
PA,2020/07/29,1114,162,624,154,406,163,29,155,7
PR,2020/07/29,465,57,87,57,31,57,0,57,5
SC,2020/07/29,1461,74,1260,72,12,74,6,72,29
TN,2020/07/29,1488,116,1164,115,18,116,6,115,34
TX,2020/07/29,9298,517,8139,515,111,517,75,515,170
VA,2020/07/29,1036,74,674,73,8,74,4,73,6
WA,2020/07/29,499,82,389,80,27,82,8,80,4
WI,2020/07/29,638,126,383,126,3,126,2,126,42
AL,2020/07/30,1968,102,1741,102,71,100,48,101,24
AR,2020/07/30,773,83,439,79,21,83,5,79,12
AZ,2020/07/30,2206,76,1815,85,23,76,14,74,39
CA,2020/07/30,8040,382,6575,381,95,370,76,369,98
CO,2020/07/30,360,86,263,80,68,86,60,80,4
DC,2020/07/30,151,11,88,11,19,11,6,11,1
DE,2020/07/30,122,7,107,7,9,7,8,7,1
FL,2020/07/30,9599,255,8832,255,758,252,54,255,152
GA,2020/07/30,2543,107,1966,104,223,107,44,104,31
IA,2020/07/30,309,123,225,123,5,123,4,123,6
ID,2020/07/30,219,43,198,41,4,43,3,41,2
IL,2020/07/30,1414,158,742,150,54,158,15,150,10
IN,2020/07/30,793,115,417,112,10,115,2,112,19
KS,2020/07/30,344,95,217,89,4,95,2,89,5
KY,2020/07/30,604,96,350,96,18,96,3,96,7
MA,2020/07/30,310,79,143,77,7,78,1,77,3
MD,2020/07/30,1093,50,603,47,30,50,8,47,10
ME,2020/07/30,43,30,12,28,1,30,0,28,1
MI,2020/07/30,491,124,285,122,17,124,15,122,1
MN,2020/07/30,286,101,189,100,20,101,8,100,5
MO,2020/07/30,795,120,609,112,43,121,36,113,9
MS,2020/07/30,1093,82,858,82,3,82,0,82,26
MT,2020/07/30,81,26,74,23,6,26,0,23,3
NC,2020/07/30,1385,117,882,117,26,117,12,117,20
NJ,2020/07/30,835,65,339,65,76,66,33,66,2
NV,2020/07/30,1189,61,997,61,46,61,9,61,36
NY,2020/07/30,1586,139,634,130,91,139,20,130,18
OH,2020/07/30,1832,182,1042,182,59,182,5,182,3
OK,2020/07/30,703,124,566,118,7,82,6,77,2
OR,2020/07/30,236,51,135,49,3,51,1,49,466
PA,2020/07/30,1082,163,594,156,53,164,31,156,5
PR,2020/07/30,474,57,137,57,27,57,1,57,4
SC,2020/07/30,1467,74,1267,73,14,74,7,73,25
TN,2020/07/30,1495,115,1132,115,15,115,6,115,31
TX,2020/07/30,10710,520,9286,518,112,520,70,518,145
UT,2020/07/30,253,46,207,46,21,46,18,46,1
VA,2020/07/30,1100,76,715,75,7,76,2,75,8
WA,2020/07/30,484,84,397,82,23,84,3,82,8
WI,2020/07/30,632,127,380,127,1,127,1,127,39
AL,2020/07/31,2009,104,1690,104,74,104,53,104,27
AR,2020/07/31,793,84,437,80,20,84,8,80,11
AZ,2020/07/31,2200,74,1776,87,23,74,10,72,46
CA,2020/07/31,7889,381,6518,380,115,372,89,371,105
CO,2020/07/31,371,86,274,80,74,86,61,80,4
CT,2020/07/31,171,31,73,31,2,31,0,31,1
DC,2020/07/31,160,11,96,11,24,11,9,11,1
FL,2020/07/31,9146,255,8535,255,775,252,74,255,155
GA,2020/07/31,2538,106,1959,103,74,106,18,103,32
IL,2020/07/31,1405,159,758,151,53,159,18,151,7
IN,2020/07/31,945,121,483,120,17,121,3,120,2
KS,2020/07/31,350,96,222,90,7,96,1,90,1
KY,2020/07/31,610,92,361,91,18,92,3,91,2
LA,2020/07/31,51,4,48,4,1,4,1,4,19
MA,2020/07/31,339,78,144,77,6,77,1,77,1
MD,2020/07/31,1134,49,607,47,24,49,6,47,5
MI,2020/07/31,524,125,291,124,22,125,16,124,3
MN,2020/07/31,312,114,210,112,14,114,8,112,2
MO,2020/07/31,813,121,593,113,22,122,15,114,10
MS,2020/07/31,1027,82,852,82,7,82,3,82,19
MT,2020/07/31,92,24,75,20,1,24,0,20,3
NC,2020/07/31,1223,116,859,116,30,116,12,116,17
NJ,2020/07/31,935,67,385,67,80,68,36,68,2
NM,2020/07/31,109,20,79,20,2,20,0,20,2
NV,2020/07/31,1186,61,976,61,4,61,11,61,13
NY,2020/07/31,1779,139,638,130,84,139,18,130,31
OH,2020/07/31,1721,187,1027,187,46,187,5,187,33
OK,2020/07/31,686,124,543,119,9,84,5,80,11
OR,2020/07/31,243,51,134,48,2,51,1,48,464
PA,2020/07/31,1119,168,615,160,53,169,29,161,4
PR,2020/07/31,454,66,110,66,38,66,0,66,4
RI,2020/07/31,70,12,60,12,1,12,1,12,1
SC,2020/07/31,1393,73,1210,72,9,73,7,72,25
TN,2020/07/31,1370,115,1075,115,14,115,6,115,37
TX,2020/07/31,10543,521,9160,519,93,521,64,519,191
UT,2020/07/31,261,46,207,46,20,46,17,46,3
VA,2020/07/31,1038,76,701,75,5,76,3,75,4
WA,2020/07/31,479,84,381,82,35,84,10,82,5
WI,2020/07/31,549,127,361,127,3,127,1,127,41
AL,2020/08/01,2162,103,1899,103,57,103,42,103,31
AR,2020/08/01,1782,84,680,80,111,84,8,80,8
AZ,2020/08/01,2364,77,1982,86,27,77,13,75,36
CA,2020/08/01,7973,381,6558,380,136,372,96,371,97
CO,2020/08/01,422,85,331,79,70,85,57,79,3
CT,2020/08/01,168,31,74,31,1,31,0,31,1
DC,2020/08/01,162,11,99,11,26,11,8,11,1
DE,2020/08/01,166,7,138,7,8,7,8,7,11
FL,2020/08/01,9698,256,9039,256,661,252,62,255,118
GA,2020/08/01,2645,106,2068,104,73,106,17,104,26
IA,2020/08/01,303,122,227,122,9,122,4,122,1
IL,2020/08/01,1437,158,810,151,51,158,20,151,7
IN,2020/08/01,929,121,545,120,16,121,1,120,4
KS,2020/08/01,470,95,343,89,13,95,6,89,5
KY,2020/08/01,776,95,522,95,25,95,2,95,6
MA,2020/08/01,655,79,447,77,4,78,1,77,1
MD,2020/08/01,1138,49,629,47,16,49,4,47,8
MI,2020/08/01,505,124,292,123,16,124,13,123,3
MN,2020/08/01,296,114,194,112,12,114,7,112,4
MO,2020/08/01,998,120,746,112,32,121,11,113,5
MS,2020/08/01,1036,81,859,80,13,81,5,80,24
MT,2020/08/01,78,24,69,20,1,24,0,20,69
NC,2020/08/01,1275,116,900,116,31,116,12,116,24
ND,2020/08/01,79,46,51,46,4,46,0,46,1
NJ,2020/08/01,1035,69,552,69,73,70,30,70,3
NM,2020/08/01,139,20,114,20,4,20,0,20,1
NV,2020/08/01,1225,61,1034,61,2,61,8,61,14
NY,2020/08/01,1582,140,632,130,65,140,18,130,32
OH,2020/08/01,1874,187,1175,187,32,187,5,187,3
OK,2020/08/01,713,131,579,127,9,79,2,76,7
OR,2020/08/01,255,52,138,49,5,52,1,49,463
PA,2020/08/01,1432,167,952,161,62,168,31,162,2
PR,2020/08/01,526,65,220,65,35,65,2,65,3
RI,2020/08/01,55,12,52,12,1,12,1,12,1
SC,2020/08/01,1687,74,1508,73,6,74,5,73,24
TN,2020/08/01,1717,112,1429,112,16,112,7,112,18
TX,2020/08/01,10308,521,8946,519,98,521,75,519,169
UT,2020/08/01,313,46,230,46,23,46,17,46,1
VA,2020/08/01,1186,75,901,74,55,80,38,79,5
WA,2020/08/01,501,86,408,84,26,86,2,83,7
WI,2020/08/01,608,127,380,127,3,127,1,127,41
AL,2020/08/02,2039,101,1810,101,125,101,104,101,24
AR,2020/08/02,1545,84,538,81,256,84,153,81,11
AZ,2020/08/02,2097,75,1787,89,194,75,180,73,43
CA,2020/08/02,7926,381,6551,381,136,330,103,330,95
CO,2020/08/02,382,84,271,78,115,84,101,78,4
CT,2020/08/02,176,31,77,31,1,31,0,31,1
DE,2020/08/02,156,7,129,7,9,7,9,7,1
FL,2020/08/02,9470,255,8810,255,859,251,275,253,139
GA,2020/08/02,2526,105,2009,103,119,105,66,103,31
IA,2020/08/02,291,123,240,123,8,123,3,123,8
ID,2020/08/02,212,42,185,41,35,42,31,41,1
IL,2020/08/02,1366,158,759,151,119,158,92,151,13
IN,2020/08/02,835,120,456,119,106,120,90,119,5
KS,2020/08/02,426,93,301,87,42,93,36,87,2
KY,2020/08/02,832,92,542,92,22,92,2,92,9
MA,2020/08/02,440,79,260,77,196,78,191,77,1
MD,2020/08/02,1080,49,572,47,49,49,39,47,6
MI,2020/08/02,475,124,292,123,12,124,9,123,3
MN,2020/08/02,303,114,207,111,13,114,5,111,1
MO,2020/08/02,987,120,757,111,20,121,8,112,7
MS,2020/08/02,1000,81,821,80,51,81,45,80,25
MT,2020/08/02,85,24,71,20,1,24,0,20,69
NC,2020/08/02,1313,113,856,113,70,113,49,113,20
ND,2020/08/02,62,46,43,46,1,46,0,46,1
NJ,2020/08/02,918,69,474,68,156,70,111,69,3
NM,2020/08/02,144,20,114,20,2,20,0,20,3
NV,2020/08/02,1212,61,1019,61,47,61,49,61,19
NY,2020/08/02,1551,140,600,130,57,140,17,130,22
OH,2020/08/02,1840,184,1126,184,36,184,7,184,9
OK,2020/08/02,614,127,513,124,47,78,46,77,6
OR,2020/08/02,221,52,133,50,5,52,0,50,466
PA,2020/08/02,1301,165,807,160,200,166,172,160,6
PR,2020/08/02,493,66,189,66,66,66,33,66,4
SC,2020/08/02,1441,73,1280,72,186,72,182,71,23
TN,2020/08/02,1435,113,1204,113,163,113,152,113,13
TX,2020/08/02,10355,519,9018,517,116,519,74,517,157
VA,2020/08/02,1071,75,794,74,184,80,165,79,4
WA,2020/08/02,523,86,403,84,19,86,5,83,11
WI,2020/08/02,591,130,375,129,4,130,2,129,41
AK,2020/08/03,38,24,24,24,2,24,1,24,2
AL,2020/08/03,1946,99,1667,99,38,99,30,99,24
AR,2020/08/03,1473,84,449,83,113,84,11,83,13
AZ,2020/08/03,1946,77,1608,87,29,77,15,76,43
CA,2020/08/03,7746,383,6357,383,130,371,97,371,108
CO,2020/08/03,326,84,246,77,64,84,55,77,3
CT,2020/08/03,164,31,61,31,4,31,0,31,1
FL,2020/08/03,9272,255,8609,255,681,250,81,255,131
GA,2020/08/03,2556,104,1984,102,47,104,45,102,31
IA,2020/08/03,303,123,241,123,4,123,3,123,4
IL,2020/08/03,1452,157,813,150,43,157,20,150,8
IN,2020/08/03,889,119,459,118,49,119,1,118,4
KS,2020/08/03,350,92,214,86,5,92,3,86,4
KY,2020/08/03,642,94,342,94,25,94,0,94,3
MA,2020/08/03,309,79,146,77,6,78,1,77,4
MD,2020/08/03,1089,49,574,47,10,49,4,47,4
MI,2020/08/03,557,126,310,124,8,126,4,124,1
MN,2020/08/03,381,116,271,116,15,116,8,116,2
MO,2020/08/03,908,123,634,114,16,124,6,115,3
MS,2020/08/03,1034,80,838,79,4,80,1,79,14
MT,2020/08/03,95,29,84,26,1,29,0,26,69
NC,2020/08/03,1308,115,864,115,24,115,9,115,26
ND,2020/08/03,64,45,45,45,2,45,0,45,1
NJ,2020/08/03,826,67,357,67,65,68,32,68,3
NM,2020/08/03,70,18,55,18,2,18,0,18,1
NV,2020/08/03,895,61,773,61,4,61,5,61,10
NY,2020/08/03,1374,141,629,132,64,141,23,132,13
OH,2020/08/03,1667,185,1006,185,35,185,5,185,3
OK,2020/08/03,627,123,491,120,13,89,9,88,4
OR,2020/08/03,218,52,137,50,1,52,1,50,464
PA,2020/08/03,1159,169,652,165,56,170,30,165,3
PR,2020/08/03,494,66,158,66,34,66,2,66,3
SC,2020/08/03,1421,74,1236,73,11,74,7,73,25
TN,2020/08/03,1289,114,1018,114,18,114,11,114,19
TX,2020/08/03,10059,541,8780,539,89,541,51,539,146
VA,2020/08/03,1012,76,695,74,8,76,6,74,7
WA,2020/08/03,511,86,422,85,10,86,7,85,4
WI,2020/08/03,573,132,392,131,3,132,3,131,43
AL,2020/08/04,1929,98,1633,98,52,98,38,98,20
AR,2020/08/04,1492,82,456,80,87,82,13,80,11
AZ,2020/08/04,1882,76,1562,86,26,76,13,75,26
CA,2020/08/04,7658,383,6167,382,109,372,86,371,111
CO,2020/08/04,361,86,246,80,79,86,56,80,2
DC,2020/08/04,153,11,101,11,11,11,4,11,1
FL,2020/08/04,9151,254,8441,254,732,250,57,254,172
GA,2020/08/04,2592,105,1970,103,69,105,61,103,25
IA,2020/08/04,303,123,242,123,4,123,4,123,2
ID,2020/08/04,197,43,175,42,2,43,1,42,3
IL,2020/08/04,1483,158,817,151,55,158,18,151,8
IN,2020/08/04,879,120,466,119,16,120,2,119,2
KS,2020/08/04,319,91,195,86,10,91,7,86,2
KY,2020/08/04,623,94,336,94,26,94,0,94,5
MD,2020/08/04,1075,49,576,47,14,49,5,47,5
MI,2020/08/04,670,142,396,141,9,142,3,141,1
MN,2020/08/04,439,121,286,121,16,121,10,121,4
MO,2020/08/04,876,123,587,113,17,124,5,114,14
MS,2020/08/04,1073,86,871,85,6,86,6,85,19
NC,2020/08/04,1446,115,895,115,32,115,11,115,18
NJ,2020/08/04,272,14,404,74,40,15,25,15,5
NM,2020/08/04,102,19,79,19,2,19,0,19,1
NV,2020/08/04,1191,61,1019,61,14,61,5,61,14
NY,2020/08/04,1555,139,631,130,64,139,21,130,14
OH,2020/08/04,1855,187,1051,187,43,187,8,187,3
OK,2020/08/04,691,127,555,125,11,88,8,87,4
OR,2020/08/04,241,52,137,50,4,52,1,50,466
PA,2020/08/04,1221,170,663,166,52,171,28,166,10
PR,2020/08/04,461,66,157,66,47,66,2,66,6
RI,2020/08/04,79,12,78,12,1,12,1,12,1
SC,2020/08/04,1428,74,1205,73,7,74,5,73,18
SD,2020/08/04,52,41,34,37,19,41,16,37,1
TN,2020/08/04,1299,115,1005,115,20,115,12,115,18
TX,2020/08/04,9848,538,8566,536,88,538,57,536,127
VA,2020/08/04,997,74,673,73,13,74,9,73,5
WA,2020/08/04,528,86,416,84,7,86,5,84,6
WI,2020/08/04,559,132,362,131,2,132,2,131,45
AL,2020/08/05,1892,101,1637,101,88,101,58,101,21
AR,2020/08/05,1530,83,434,79,88,83,15,79,9
AZ,2020/08/05,1867,77,1536,94,22,77,14,75,43
CA,2020/08/05,7578,384,6111,382,114,367,70,365,108
CO,2020/08/05,318,86,237,80,64,86,56,80,6
DC,2020/08/05,146,13,104,13,9,13,4,13,1
FL,2020/08/05,8790,255,8154,255,781,253,63,255,178
GA,2020/08/05,2390,107,1843,105,187,107,126,105,31
HI,2020/08/05,127,17,107,17,1,17,1,17,1
IA,2020/08/05,287,123,235,123,6,123,2,123,5
ID,2020/08/05,197,44,182,43,4,44,1,43,1
IL,2020/08/05,1475,159,793,152,50,159,20,152,8
IN,2020/08/05,942,120,464,119,15,120,4,119,5
KS,2020/08/05,320,91,200,87,7,91,3,87,5
KY,2020/08/05,704,99,387,99,33,99,1,99,4
MA,2020/08/05,345,79,169,78,7,78,4,78,3
MD,2020/08/05,977,49,571,47,15,49,9,47,3
MI,2020/08/05,670,143,424,143,10,143,5,143,4
MN,2020/08/05,433,120,284,120,79,120,5,120,7
MO,2020/08/05,859,122,608,113,31,123,11,114,8
NC,2020/08/05,1360,116,864,116,23,116,10,116,18
ND,2020/08/05,98,47,79,47,5,47,1,47,1
NJ,2020/08/05,265,12,406,73,1,12,0,12,3
NM,2020/08/05,115,28,77,28,9,28,1,28,2
NV,2020/08/05,1172,61,978,61,1,61,3,61,12
NY,2020/08/05,1517,139,651,131,74,139,22,131,23
OH,2020/08/05,1832,187,1025,187,23,187,2,187,4
OK,2020/08/05,679,126,533,123,12,77,8,76,16
OR,2020/08/05,252,52,135,50,4,52,1,50,470
PA,2020/08/05,1312,173,689,167,48,174,26,168,4
PR,2020/08/05,456,58,271,58,41,58,6,58,7
RI,2020/08/05,82,12,80,12,1,12,1,12,1
SC,2020/08/05,1448,74,1260,74,7,74,6,74,23
TN,2020/08/05,1523,114,1141,114,24,114,14,114,41
TX,2020/08/05,9567,539,8290,536,94,539,63,536,133
UT,2020/08/05,244,46,190,46,23,46,16,46,3
VA,2020/08/05,999,74,654,73,11,74,6,73,10
WA,2020/08/05,520,86,385,85,7,86,4,85,7
WI,2020/08/05,536,133,351,132,13,133,2,132,49
AL,2020/08/06,1903,103,1669,103,59,102,53,103,23
AR,2020/08/06,1516,83,429,80,94,83,15,80,6
AZ,2020/08/06,1759,80,1478,95,24,80,16,78,29
CA,2020/08/06,7402,384,6038,383,105,373,65,372,105
CO,2020/08/06,305,85,230,79,88,85,61,79,2
CT,2020/08/06,173,30,64,30,5,30,2,30,1
DC,2020/08/06,134,13,93,13,13,13,5,13,2
FL,2020/08/06,8630,255,7966,255,668,252,55,255,146
GA,2020/08/06,2448,108,1912,106,113,108,55,106,27
IA,2020/08/06,277,123,225,123,3,123,1,123,2
IL,2020/08/06,1453,159,801,152,44,159,12,152,9
IN,2020/08/06,901,122,459,121,13,122,5,121,2
KS,2020/08/06,316,93,196,87,6,93,2,87,5
KY,2020/08/06,732,99,383,99,29,99,2,99,11
MA,2020/08/06,339,79,168,78,5,78,4,78,2
MD,2020/08/06,991,50,563,48,13,50,10,48,3
MI,2020/08/06,650,145,441,145,7,145,2,145,3
MN,2020/08/06,466,120,286,120,83,120,5,120,2
MO,2020/08/06,836,121,593,113,20,122,8,114,15
MS,2020/08/06,1088,89,871,89,5,89,1,89,20
NC,2020/08/06,1260,116,852,116,21,116,9,116,16
NM,2020/08/06,133,37,92,37,8,37,0,37,3
NV,2020/08/06,1118,61,927,61,2,61,2,61,24
NY,2020/08/06,1478,142,635,133,92,142,18,133,14
OH,2020/08/06,1753,188,1004,188,19,188,2,188,5
OK,2020/08/06,630,124,507,123,12,80,10,79,6
OR,2020/08/06,223,52,128,50,5,52,2,50,475
PA,2020/08/06,1202,176,691,169,52,177,32,170,8
PR,2020/08/06,413,57,238,57,33,57,5,57,5
RI,2020/08/06,80,13,78,13,1,13,1,13,1
SC,2020/08/06,1374,74,1206,74,8,74,7,74,24
TN,2020/08/06,1438,115,1102,115,20,115,10,115,19
TX,2020/08/06,9245,539,8047,535,160,539,122,535,131
VA,2020/08/06,996,73,653,72,10,73,6,72,5
WA,2020/08/06,573,87,409,86,8,87,6,86,10
WI,2020/08/06,541,133,363,132,6,133,3,132,47
AL,2020/08/07,1847,103,1602,103,79,103,52,103,20
AR,2020/08/07,1494,83,447,80,94,83,18,80,10
AZ,2020/08/07,1646,79,1404,95,16,79,15,77,41
CA,2020/08/07,7234,383,5855,383,85,352,56,352,92
CO,2020/08/07,313,86,236,81,94,86,68,81,2
CT,2020/08/07,180,30,59,30,3,30,1,30,1
FL,2020/08/07,8434,254,7750,254,731,249,57,252,138
GA,2020/08/07,2382,107,1857,105,101,107,58,105,27
HI,2020/08/07,151,17,119,17,2,17,1,17,5
IA,2020/08/07,284,123,230,123,3,123,1,123,4
ID,2020/08/07,206,45,181,43,2,45,1,43,2
IL,2020/08/07,1600,160,790,153,68,160,20,153,9
IN,2020/08/07,903,123,491,121,11,123,2,121,5
KS,2020/08/07,285,95,198,88,9,95,3,88,3
KY,2020/08/07,664,99,397,99,30,99,5,99,3
MA,2020/08/07,332,79,170,78,11,78,3,78,2
MD,2020/08/07,981,50,564,48,13,50,8,48,4
MI,2020/08/07,693,145,400,145,15,145,3,145,1
MN,2020/08/07,465,120,282,120,80,120,4,120,3
MO,2020/08/07,856,122,613,115,24,123,9,116,9
MS,2020/08/07,1061,90,880,89,4,90,3,89,33
MT,2020/08/07,80,27,74,22,1,27,0,22,2
NC,2020/08/07,1312,116,864,116,17,116,11,116,15
NE,2020/08/07,162,64,119,60,5,37,1,33,2
NM,2020/08/07,168,42,114,42,4,42,1,42,5
NV,2020/08/07,1023,61,873,61,5,61,3,61,22
NY,2020/08/07,1663,143,623,134,93,143,19,134,21
OH,2020/08/07,1711,188,975,188,39,188,5,188,6
OK,2020/08/07,652,128,521,126,8,111,6,109,3
OR,2020/08/07,231,52,129,50,3,52,1,50,483
PA,2020/08/07,1208,176,667,167,49,177,25,167,5
PR,2020/08/07,399,57,216,57,33,57,6,57,4
SC,2020/08/07,1383,73,1185,73,9,73,7,73,19
TN,2020/08/07,1421,113,1099,113,17,113,8,113,18
TX,2020/08/07,9260,536,7956,533,186,536,150,533,160
VA,2020/08/07,1000,75,691,72,8,75,6,72,6
WA,2020/08/07,524,87,373,86,10,87,7,86,4
WI,2020/08/07,601,133,400,132,4,133,3,132,45
AL,2020/08/08,1648,102,1438,102,63,102,49,102,24
AR,2020/08/08,1497,85,434,83,87,85,16,83,11
AZ,2020/08/08,1570,79,1335,94,20,79,15,76,32
CA,2020/08/08,6959,384,5694,382,107,375,62,373,91
CO,2020/08/08,317,86,233,81,99,86,58,81,2
CT,2020/08/08,177,30,57,30,3,30,1,30,1
FL,2020/08/08,8050,255,7448,255,720,250,90,255,130
GA,2020/08/08,2323,106,1825,104,106,106,53,104,31
HI,2020/08/08,138,15,110,15,2,15,1,15,5
IA,2020/08/08,272,123,218,123,5,123,4,123,6
IL,2020/08/08,1582,159,772,152,53,159,15,152,6
IN,2020/08/08,906,128,505,126,12,128,2,126,7
KS,2020/08/08,306,95,194,89,4,95,1,89,4
KY,2020/08/08,651,98,399,98,31,98,9,98,6
MD,2020/08/08,940,50,538,48,13,50,8,48,5
MI,2020/08/08,637,143,393,143,20,143,5,143,16
MN,2020/08/08,426,120,291,120,79,120,3,120,4
MO,2020/08/08,780,124,583,116,28,125,14,117,14
MS,2020/08/08,1044,90,863,89,7,90,5,89,22
NC,2020/08/08,1242,116,859,116,29,116,11,116,16
NE,2020/08/08,160,64,120,60,6,37,1,33,2
NM,2020/08/08,157,44,118,44,5,44,1,44,3
NV,2020/08/08,1043,61,906,61,4,61,3,61,14
NY,2020/08/08,1547,142,594,134,82,142,24,134,16
OH,2020/08/08,1720,188,950,188,35,188,7,188,7
OK,2020/08/08,564,126,463,125,13,112,9,111,6
OR,2020/08/08,197,52,128,50,6,52,0,50,486
PA,2020/08/08,1078,175,639,167,99,176,24,167,10
PR,2020/08/08,370,57,233,57,25,57,5,57,4
RI,2020/08/08,85,13,79,13,5,13,5,13,1
SC,2020/08/08,1345,74,1146,73,8,74,6,73,21
TN,2020/08/08,1361,115,1099,115,15,115,10,115,21
TX,2020/08/08,8703,535,7448,532,183,535,144,532,151
UT,2020/08/08,116,49,86,48,12,49,12,48,1
VA,2020/08/08,989,76,667,73,14,76,9,73,4
WA,2020/08/08,445,87,328,78,11,87,6,77,4
WI,2020/08/08,640,132,407,131,4,132,2,131,44
AK,2020/08/09,47,22,23,22,1,22,0,22,1
AL,2020/08/09,1753,101,1527,102,81,103,46,103,27
AR,2020/08/09,1472,85,442,83,90,85,16,83,6
AZ,2020/08/09,1506,75,1324,96,22,75,14,73,30
CA,2020/08/09,6914,384,5677,383,88,343,63,342,96
CO,2020/08/09,312,84,224,79,105,84,65,79,1
CT,2020/08/09,175,30,57,30,3,30,1,30,1
DC,2020/08/09,119,13,84,13,12,13,6,13,1
FL,2020/08/09,7978,255,7374,255,671,252,95,255,111
GA,2020/08/09,2272,105,1781,103,83,105,36,103,24
HI,2020/08/09,147,15,125,15,2,15,1,15,4
IA,2020/08/09,271,123,214,123,7,123,2,123,2
IL,2020/08/09,1630,161,789,153,44,161,15,153,7
IN,2020/08/09,859,128,498,126,15,128,3,126,7
KS,2020/08/09,274,95,181,89,5,95,2,89,2
KY,2020/08/09,652,97,427,97,71,97,17,97,7
MA,2020/08/09,304,79,153,78,12,78,6,78,1
MD,2020/08/09,898,50,528,48,14,50,4,48,33
MI,2020/08/09,648,143,397,143,12,143,2,143,10
MN,2020/08/09,440,120,284,120,20,120,15,120,1
MO,2020/08/09,808,124,608,117,21,125,9,118,6
MS,2020/08/09,1009,90,864,89,11,90,4,89,22
NC,2020/08/09,1282,115,895,114,20,115,9,114,10
NE,2020/08/09,181,65,125,60,6,38,1,33,5
NM,2020/08/09,147,44,118,44,4,44,1,44,2
NV,2020/08/09,1059,61,880,61,4,61,1,61,16
NY,2020/08/09,1468,141,581,133,56,141,18,133,15
OH,2020/08/09,1646,188,959,188,29,188,5,188,3
OK,2020/08/09,503,125,395,124,4,102,4,101,1
OR,2020/08/09,202,51,125,49,2,51,0,49,483
PA,2020/08/09,1128,177,654,168,47,178,25,168,6
PR,2020/08/09,388,57,222,57,19,57,10,57,10
RI,2020/08/09,93,13,89,13,5,13,5,13,1
SC,2020/08/09,1315,75,1134,74,9,75,6,74,30
TN,2020/08/09,1370,114,1090,114,25,114,13,114,18
TX,2020/08/09,8576,535,7299,532,154,535,125,532,140
VA,2020/08/09,954,76,654,73,13,76,11,73,4
WA,2020/08/09,468,87,364,85,13,87,5,84,3
WI,2020/08/09,636,132,404,131,3,132,2,131,45
AL,2020/08/10,1802,101,1585,100,91,101,77,102,25
AR,2020/08/10,1509,83,452,79,74,83,3,79,3
AZ,2020/08/10,1540,77,1226,88,15,77,11,75,33
CA,2020/08/10,7034,383,5740,383,81,358,59,358,91
CO,2020/08/10,307,85,214,80,107,85,66,80,5
DC,2020/08/10,236,13,211,13,18,13,6,13,3
FL,2020/08/10,7900,255,7292,255,730,251,98,255,117
GA,2020/08/10,2290,107,1820,104,96,107,35,104,35
HI,2020/08/10,172,17,148,17,6,17,2,17,1
IA,2020/08/10,310,123,239,123,6,123,3,123,5
IL,2020/08/10,1613,162,830,154,46,162,15,154,11
IN,2020/08/10,889,126,520,124,22,126,4,124,7
KS,2020/08/10,256,97,187,90,4,97,1,90,6
KY,2020/08/10,658,99,456,99,25,99,14,99,5
MA,2020/08/10,335,79,155,78,13,78,4,78,2
MD,2020/08/10,909,50,524,48,11,50,4,48,4
MI,2020/08/10,663,142,415,142,12,142,1,142,4
MN,2020/08/10,450,120,300,120,12,120,6,120,6
MO,2020/08/10,824,123,622,116,16,124,4,117,13
MS,2020/08/10,996,90,869,89,10,90,6,89,26
MT,2020/08/10,74,27,71,23,3,27,2,23,1
NC,2020/08/10,1208,115,803,114,17,115,10,114,19
ND,2020/08/10,106,48,88,48,1,48,1,48,2
NE,2020/08/10,127,73,98,69,74,78,52,73,3
NM,2020/08/10,151,44,114,44,5,44,1,44,1
NV,2020/08/10,1019,61,874,61,2,61,3,61,18
NY,2020/08/10,1508,141,609,133,56,141,17,133,14
OH,2020/08/10,1717,188,978,188,32,188,3,188,5
OK,2020/08/10,650,137,496,136,7,114,7,113,11
OR,2020/08/10,231,52,136,51,2,52,1,51,478
PA,2020/08/10,1117,179,667,170,39,180,22,170,11
PR,2020/08/10,309,64,212,64,28,64,4,64,7
SC,2020/08/10,1308,75,1152,74,13,75,12,74,29
TN,2020/08/10,1389,116,1113,116,21,116,14,116,12
TX,2020/08/10,8788,540,7423,537,197,540,166,537,135
UT,2020/08/10,216,48,187,47,20,48,19,47,3
VA,2020/08/10,993,75,644,72,8,75,6,72,11
WA,2020/08/10,487,85,368,83,15,85,6,83,6
WI,2020/08/10,663,133,440,132,8,133,0,132,47
AK,2020/08/11,46,23,28,23,1,23,0,23,1
AL,2020/08/11,1825,104,1584,104,56,102,45,103,26
